"mRNA","nocodazole","mean","sd","n","sem"
"set3_mRNA","0 µM Nocodazole",2225.21428571429,2179.78810468327,14,582.57287596358
"set3_mRNA","150 µM Nocodazole",3107.66666666667,3424.2285218275,12,988.489629421952
"erm1_mRNA","0 µM Nocodazole",3800.71428571429,2302.07780489284,14,615.256173114687
"erm1_mRNA","150 µM Nocodazole",3065.75,1148.48296183982,12,331.538473588959
